question,label
연결해 김민이,O S-Target
송신해 소담한테,O S-Target
송신해 민이,O S-Target
송신해 경원,O S-Target
송신해 세훈,O S-Target
송신해 천우,O S-Target
송신해 설아,O S-Target
송신해 제니,O S-Target
송신해 소담,O S-Target
송신해 다솜,O S-Target
송신해 가이,O S-Target
송신해 규빈,O S-Target
송신해 그리,O S-Target
송신해 보담,O S-Target
송신해 가브리엘,O S-Target
송신해 수빈,O S-Target
송신해 동찬,O S-Target
송신해 성현,O S-Target
송신해 방지,O S-Target
송신해 형근이,O S-Target
송신해 이천우,O S-Target
송신해 이경원,O S-Target
송신해 박세훈,O S-Target
송신해 김민이,O S-Target
설아에게 걸어,S-Target O
민이 걸어,S-Target O
경원 걸어,S-Target O
세훈 걸어,S-Target O
천우 걸어,S-Target O
설아 걸어,S-Target O
제니 걸어,S-Target O
소담 걸어,S-Target O
다솜 걸어,S-Target O
가이 걸어,S-Target O
규빈 걸어,S-Target O
그리 걸어,S-Target O
보담 걸어,S-Target O
가브리엘 걸어,S-Target O
수빈 걸어,S-Target O
동찬 걸어,S-Target O
성현 걸어,S-Target O
방지 걸어,S-Target O
형근이 걸어,S-Target O
이천우 걸어,S-Target O
이경원 걸어,S-Target O
박세훈 걸어,S-Target O
김민이 걸어,S-Target O
이규빈한테 발신해,S-Target O
민이 발신해,S-Target O
경원 발신해,S-Target O
세훈 발신해,S-Target O
천우 발신해,S-Target O
설아 발신해,S-Target O
제니 발신해,S-Target O
소담 발신해,S-Target O
다솜 발신해,S-Target O
가이 발신해,S-Target O
규빈 발신해,S-Target O
그리 발신해,S-Target O
보담 발신해,S-Target O
가브리엘 발신해,S-Target O
수빈 발신해,S-Target O
동찬 발신해,S-Target O
성현 발신해,S-Target O
방지 발신해,S-Target O
형근이 발신해,S-Target O
이천우 발신해,S-Target O
이경원 발신해,S-Target O
박세훈 발신해,S-Target O
김민이 발신해,S-Target O
이규빈 걸어,S-Target O
민이 걸어,S-Target O
경원 걸어,S-Target O
세훈 걸어,S-Target O
천우 걸어,S-Target O
설아 걸어,S-Target O
제니 걸어,S-Target O
소담 걸어,S-Target O
다솜 걸어,S-Target O
가이 걸어,S-Target O
규빈 걸어,S-Target O
그리 걸어,S-Target O
보담 걸어,S-Target O
가브리엘 걸어,S-Target O
수빈 걸어,S-Target O
동찬 걸어,S-Target O
성현 걸어,S-Target O
방지 걸어,S-Target O
형근이 걸어,S-Target O
이천우 걸어,S-Target O
이경원 걸어,S-Target O
박세훈 걸어,S-Target O
김민이 걸어,S-Target O
다솜 발신해,S-Target O
민이 발신해,S-Target O
경원 발신해,S-Target O
세훈 발신해,S-Target O
천우 발신해,S-Target O
설아 발신해,S-Target O
제니 발신해,S-Target O
소담 발신해,S-Target O
가이 발신해,S-Target O
규빈 발신해,S-Target O
그리 발신해,S-Target O
보담 발신해,S-Target O
가브리엘 발신해,S-Target O
수빈 발신해,S-Target O
동찬 발신해,S-Target O
성현 발신해,S-Target O
방지 발신해,S-Target O
형근이 발신해,S-Target O
이천우 발신해,S-Target O
이경원 발신해,S-Target O
박세훈 발신해,S-Target O
김민이 발신해,S-Target O
수빈 송신해,S-Target O
민이 송신해,S-Target O
경원 송신해,S-Target O
세훈 송신해,S-Target O
천우 송신해,S-Target O
설아 송신해,S-Target O
제니 송신해,S-Target O
소담 송신해,S-Target O
다솜 송신해,S-Target O
가이 송신해,S-Target O
규빈 송신해,S-Target O
그리 송신해,S-Target O
보담 송신해,S-Target O
가브리엘 송신해,S-Target O
동찬 송신해,S-Target O
성현 송신해,S-Target O
방지 송신해,S-Target O
형근이 송신해,S-Target O
이천우 송신해,S-Target O
이경원 송신해,S-Target O
박세훈 송신해,S-Target O
김민이 송신해,S-Target O
김민이 교신해,S-Target O
민이 교신해,S-Target O
경원 교신해,S-Target O
세훈 교신해,S-Target O
천우 교신해,S-Target O
설아 교신해,S-Target O
제니 교신해,S-Target O
소담 교신해,S-Target O
다솜 교신해,S-Target O
가이 교신해,S-Target O
규빈 교신해,S-Target O
그리 교신해,S-Target O
보담 교신해,S-Target O
가브리엘 교신해,S-Target O
수빈 교신해,S-Target O
동찬 교신해,S-Target O
성현 교신해,S-Target O
방지 교신해,S-Target O
형근이 교신해,S-Target O
이천우 교신해,S-Target O
이경원 교신해,S-Target O
박세훈 교신해,S-Target O
가이 연결해,S-Target O
민이 연결해,S-Target O
경원 연결해,S-Target O
세훈 연결해,S-Target O
천우 연결해,S-Target O
설아 연결해,S-Target O
제니 연결해,S-Target O
소담 연결해,S-Target O
다솜 연결해,S-Target O
규빈 연결해,S-Target O
그리 연결해,S-Target O
보담 연결해,S-Target O
가브리엘 연결해,S-Target O
수빈 연결해,S-Target O
동찬 연결해,S-Target O
성현 연결해,S-Target O
방지 연결해,S-Target O
형근이 연결해,S-Target O
이천우 연결해,S-Target O
이경원 연결해,S-Target O
박세훈 연결해,S-Target O
김민이 연결해,S-Target O
이천우 발신해주실 수 있으십니까,S-Target O O O
민이 발신해주실 수 있으십니까,S-Target O O O
경원 발신해주실 수 있으십니까,S-Target O O O
세훈 발신해주실 수 있으십니까,S-Target O O O
천우 발신해주실 수 있으십니까,S-Target O O O
설아 발신해주실 수 있으십니까,S-Target O O O
제니 발신해주실 수 있으십니까,S-Target O O O
소담 발신해주실 수 있으십니까,S-Target O O O
다솜 발신해주실 수 있으십니까,S-Target O O O
가이 발신해주실 수 있으십니까,S-Target O O O
규빈 발신해주실 수 있으십니까,S-Target O O O
그리 발신해주실 수 있으십니까,S-Target O O O
보담 발신해주실 수 있으십니까,S-Target O O O
가브리엘 발신해주실 수 있으십니까,S-Target O O O
수빈 발신해주실 수 있으십니까,S-Target O O O
동찬 발신해주실 수 있으십니까,S-Target O O O
성현 발신해주실 수 있으십니까,S-Target O O O
방지 발신해주실 수 있으십니까,S-Target O O O
형근이 발신해주실 수 있으십니까,S-Target O O O
이경원 발신해주실 수 있으십니까,S-Target O O O
박세훈 발신해주실 수 있으십니까,S-Target O O O
김민이 발신해주실 수 있으십니까,S-Target O O O
교신해라 다솜,O S-Target
교신해라 민이,O S-Target
교신해라 경원,O S-Target
교신해라 세훈,O S-Target
교신해라 천우,O S-Target
교신해라 설아,O S-Target
교신해라 제니,O S-Target
교신해라 소담,O S-Target
교신해라 가이,O S-Target
교신해라 규빈,O S-Target
교신해라 그리,O S-Target
교신해라 보담,O S-Target
교신해라 가브리엘,O S-Target
교신해라 수빈,O S-Target
교신해라 동찬,O S-Target
교신해라 성현,O S-Target
교신해라 방지,O S-Target
교신해라 형근이,O S-Target
교신해라 이천우,O S-Target
교신해라 이경원,O S-Target
교신해라 박세훈,O S-Target
교신해라 김민이,O S-Target
걸어봐줘 소담,O S-Target
걸어봐줘 민이,O S-Target
걸어봐줘 경원,O S-Target
걸어봐줘 세훈,O S-Target
걸어봐줘 천우,O S-Target
걸어봐줘 설아,O S-Target
걸어봐줘 제니,O S-Target
걸어봐줘 다솜,O S-Target
걸어봐줘 가이,O S-Target
걸어봐줘 규빈,O S-Target
걸어봐줘 그리,O S-Target
걸어봐줘 보담,O S-Target
걸어봐줘 가브리엘,O S-Target
걸어봐줘 수빈,O S-Target
걸어봐줘 동찬,O S-Target
걸어봐줘 성현,O S-Target
걸어봐줘 방지,O S-Target
걸어봐줘 형근이,O S-Target
걸어봐줘 이천우,O S-Target
걸어봐줘 이경원,O S-Target
걸어봐줘 박세훈,O S-Target
걸어봐줘 김민이,O S-Target
송보담 발신해봐주라,S-Target O
민이 발신해봐주라,S-Target O
경원 발신해봐주라,S-Target O
세훈 발신해봐주라,S-Target O
천우 발신해봐주라,S-Target O
설아 발신해봐주라,S-Target O
제니 발신해봐주라,S-Target O
소담 발신해봐주라,S-Target O
다솜 발신해봐주라,S-Target O
가이 발신해봐주라,S-Target O
규빈 발신해봐주라,S-Target O
그리 발신해봐주라,S-Target O
보담 발신해봐주라,S-Target O
가브리엘 발신해봐주라,S-Target O
수빈 발신해봐주라,S-Target O
동찬 발신해봐주라,S-Target O
성현 발신해봐주라,S-Target O
방지 발신해봐주라,S-Target O
형근이 발신해봐주라,S-Target O
이천우 발신해봐주라,S-Target O
이경원 발신해봐주라,S-Target O
박세훈 발신해봐주라,S-Target O
김민이 발신해봐주라,S-Target O
설아 걸어봐다오,S-Target O
민이 걸어봐다오,S-Target O
경원 걸어봐다오,S-Target O
세훈 걸어봐다오,S-Target O
천우 걸어봐다오,S-Target O
제니 걸어봐다오,S-Target O
소담 걸어봐다오,S-Target O
다솜 걸어봐다오,S-Target O
가이 걸어봐다오,S-Target O
규빈 걸어봐다오,S-Target O
그리 걸어봐다오,S-Target O
보담 걸어봐다오,S-Target O
가브리엘 걸어봐다오,S-Target O
수빈 걸어봐다오,S-Target O
동찬 걸어봐다오,S-Target O
성현 걸어봐다오,S-Target O
방지 걸어봐다오,S-Target O
형근이 걸어봐다오,S-Target O
이천우 걸어봐다오,S-Target O
이경원 걸어봐다오,S-Target O
박세훈 걸어봐다오,S-Target O
김민이 걸어봐다오,S-Target O
설아 발신하니,S-Target O
민이 발신하니,S-Target O
경원 발신하니,S-Target O
세훈 발신하니,S-Target O
천우 발신하니,S-Target O
제니 발신하니,S-Target O
소담 발신하니,S-Target O
다솜 발신하니,S-Target O
가이 발신하니,S-Target O
규빈 발신하니,S-Target O
그리 발신하니,S-Target O
보담 발신하니,S-Target O
가브리엘 발신하니,S-Target O
수빈 발신하니,S-Target O
동찬 발신하니,S-Target O
성현 발신하니,S-Target O
방지 발신하니,S-Target O
형근이 발신하니,S-Target O
이천우 발신하니,S-Target O
이경원 발신하니,S-Target O
박세훈 발신하니,S-Target O
김민이 발신하니,S-Target O
제니 교신해주실 수 있으십니까,S-Target O O O
민이 교신해주실 수 있으십니까,S-Target O O O
경원 교신해주실 수 있으십니까,S-Target O O O
세훈 교신해주실 수 있으십니까,S-Target O O O
천우 교신해주실 수 있으십니까,S-Target O O O
설아 교신해주실 수 있으십니까,S-Target O O O
소담 교신해주실 수 있으십니까,S-Target O O O
다솜 교신해주실 수 있으십니까,S-Target O O O
가이 교신해주실 수 있으십니까,S-Target O O O
규빈 교신해주실 수 있으십니까,S-Target O O O
그리 교신해주실 수 있으십니까,S-Target O O O
보담 교신해주실 수 있으십니까,S-Target O O O
가브리엘 교신해주실 수 있으십니까,S-Target O O O
수빈 교신해주실 수 있으십니까,S-Target O O O
동찬 교신해주실 수 있으십니까,S-Target O O O
성현 교신해주실 수 있으십니까,S-Target O O O
방지 교신해주실 수 있으십니까,S-Target O O O
형근이 교신해주실 수 있으십니까,S-Target O O O
이천우 교신해주실 수 있으십니까,S-Target O O O
이경원 교신해주실 수 있으십니까,S-Target O O O
박세훈 교신해주실 수 있으십니까,S-Target O O O
김민이 교신해주실 수 있으십니까,S-Target O O O
연결했느냐 이천우,O S-Target
연결했느냐 민이,O S-Target
연결했느냐 경원,O S-Target
연결했느냐 세훈,O S-Target
연결했느냐 천우,O S-Target
연결했느냐 설아,O S-Target
연결했느냐 제니,O S-Target
연결했느냐 소담,O S-Target
연결했느냐 다솜,O S-Target
연결했느냐 가이,O S-Target
연결했느냐 규빈,O S-Target
연결했느냐 그리,O S-Target
연결했느냐 보담,O S-Target
연결했느냐 가브리엘,O S-Target
연결했느냐 수빈,O S-Target
연결했느냐 동찬,O S-Target
연결했느냐 성현,O S-Target
연결했느냐 방지,O S-Target
연결했느냐 형근이,O S-Target
연결했느냐 이경원,O S-Target
연결했느냐 박세훈,O S-Target
연결했느냐 김민이,O S-Target
소담 송신해줘,S-Target O
민이 송신해줘,S-Target O
경원 송신해줘,S-Target O
세훈 송신해줘,S-Target O
천우 송신해줘,S-Target O
설아 송신해줘,S-Target O
제니 송신해줘,S-Target O
다솜 송신해줘,S-Target O
가이 송신해줘,S-Target O
규빈 송신해줘,S-Target O
그리 송신해줘,S-Target O
보담 송신해줘,S-Target O
가브리엘 송신해줘,S-Target O
수빈 송신해줘,S-Target O
동찬 송신해줘,S-Target O
성현 송신해줘,S-Target O
방지 송신해줘,S-Target O
형근이 송신해줘,S-Target O
이천우 송신해줘,S-Target O
이경원 송신해줘,S-Target O
박세훈 송신해줘,S-Target O
김민이 송신해줘,S-Target O
발신했어 이천우,O S-Target
발신했어 민이,O S-Target
발신했어 경원,O S-Target
발신했어 세훈,O S-Target
발신했어 천우,O S-Target
발신했어 설아,O S-Target
발신했어 제니,O S-Target
발신했어 소담,O S-Target
발신했어 다솜,O S-Target
발신했어 가이,O S-Target
발신했어 규빈,O S-Target
발신했어 그리,O S-Target
발신했어 보담,O S-Target
발신했어 가브리엘,O S-Target
발신했어 수빈,O S-Target
발신했어 동찬,O S-Target
발신했어 성현,O S-Target
발신했어 방지,O S-Target
발신했어 형근이,O S-Target
발신했어 이경원,O S-Target
발신했어 박세훈,O S-Target
발신했어 김민이,O S-Target
소담 연결하니,S-Target O
민이 연결하니,S-Target O
경원 연결하니,S-Target O
세훈 연결하니,S-Target O
천우 연결하니,S-Target O
설아 연결하니,S-Target O
제니 연결하니,S-Target O
다솜 연결하니,S-Target O
가이 연결하니,S-Target O
규빈 연결하니,S-Target O
그리 연결하니,S-Target O
보담 연결하니,S-Target O
가브리엘 연결하니,S-Target O
수빈 연결하니,S-Target O
동찬 연결하니,S-Target O
성현 연결하니,S-Target O
방지 연결하니,S-Target O
형근이 연결하니,S-Target O
이천우 연결하니,S-Target O
이경원 연결하니,S-Target O
박세훈 연결하니,S-Target O
김민이 연결하니,S-Target O
소담 걸어보자고,S-Target O
민이 걸어보자고,S-Target O
경원 걸어보자고,S-Target O
세훈 걸어보자고,S-Target O
천우 걸어보자고,S-Target O
설아 걸어보자고,S-Target O
제니 걸어보자고,S-Target O
다솜 걸어보자고,S-Target O
가이 걸어보자고,S-Target O
규빈 걸어보자고,S-Target O
그리 걸어보자고,S-Target O
보담 걸어보자고,S-Target O
가브리엘 걸어보자고,S-Target O
수빈 걸어보자고,S-Target O
동찬 걸어보자고,S-Target O
성현 걸어보자고,S-Target O
방지 걸어보자고,S-Target O
형근이 걸어보자고,S-Target O
이천우 걸어보자고,S-Target O
이경원 걸어보자고,S-Target O
박세훈 걸어보자고,S-Target O
김민이 걸어보자고,S-Target O
송신해주라 제니,O S-Target
송신해주라 민이,O S-Target
송신해주라 경원,O S-Target
송신해주라 세훈,O S-Target
송신해주라 천우,O S-Target
송신해주라 설아,O S-Target
송신해주라 소담,O S-Target
송신해주라 다솜,O S-Target
송신해주라 가이,O S-Target
송신해주라 규빈,O S-Target
송신해주라 그리,O S-Target
송신해주라 보담,O S-Target
송신해주라 가브리엘,O S-Target
송신해주라 수빈,O S-Target
송신해주라 동찬,O S-Target
송신해주라 성현,O S-Target
송신해주라 방지,O S-Target
송신해주라 형근이,O S-Target
송신해주라 이천우,O S-Target
송신해주라 이경원,O S-Target
송신해주라 박세훈,O S-Target
송신해주라 김민이,O S-Target
연결하자 하그리,O S-Target
연결하자 민이,O S-Target
연결하자 경원,O S-Target
연결하자 세훈,O S-Target
연결하자 천우,O S-Target
연결하자 설아,O S-Target
연결하자 제니,O S-Target
연결하자 소담,O S-Target
연결하자 다솜,O S-Target
연결하자 가이,O S-Target
연결하자 규빈,O S-Target
연결하자 그리,O S-Target
연결하자 보담,O S-Target
연결하자 가브리엘,O S-Target
연결하자 수빈,O S-Target
연결하자 동찬,O S-Target
연결하자 성현,O S-Target
연결하자 방지,O S-Target
연결하자 형근이,O S-Target
연결하자 이천우,O S-Target
연결하자 이경원,O S-Target
연결하자 박세훈,O S-Target
연결하자 김민이,O S-Target
이경원 송신했느냐,S-Target O
민이 송신했느냐,S-Target O
경원 송신했느냐,S-Target O
세훈 송신했느냐,S-Target O
천우 송신했느냐,S-Target O
설아 송신했느냐,S-Target O
제니 송신했느냐,S-Target O
소담 송신했느냐,S-Target O
다솜 송신했느냐,S-Target O
가이 송신했느냐,S-Target O
규빈 송신했느냐,S-Target O
그리 송신했느냐,S-Target O
보담 송신했느냐,S-Target O
가브리엘 송신했느냐,S-Target O
수빈 송신했느냐,S-Target O
동찬 송신했느냐,S-Target O
성현 송신했느냐,S-Target O
방지 송신했느냐,S-Target O
형근이 송신했느냐,S-Target O
이천우 송신했느냐,S-Target O
박세훈 송신했느냐,S-Target O
김민이 송신했느냐,S-Target O
소담 연결해주실 수 있나요,S-Target O O O
민이 연결해주실 수 있나요,S-Target O O O
경원 연결해주실 수 있나요,S-Target O O O
세훈 연결해주실 수 있나요,S-Target O O O
천우 연결해주실 수 있나요,S-Target O O O
설아 연결해주실 수 있나요,S-Target O O O
제니 연결해주실 수 있나요,S-Target O O O
다솜 연결해주실 수 있나요,S-Target O O O
가이 연결해주실 수 있나요,S-Target O O O
규빈 연결해주실 수 있나요,S-Target O O O
그리 연결해주실 수 있나요,S-Target O O O
보담 연결해주실 수 있나요,S-Target O O O
가브리엘 연결해주실 수 있나요,S-Target O O O
수빈 연결해주실 수 있나요,S-Target O O O
동찬 연결해주실 수 있나요,S-Target O O O
성현 연결해주실 수 있나요,S-Target O O O
방지 연결해주실 수 있나요,S-Target O O O
형근이 연결해주실 수 있나요,S-Target O O O
이천우 연결해주실 수 있나요,S-Target O O O
이경원 연결해주실 수 있나요,S-Target O O O
박세훈 연결해주실 수 있나요,S-Target O O O
김민이 연결해주실 수 있나요,S-Target O O O
김민이 발신해봐,S-Target O
민이 발신해봐,S-Target O
경원 발신해봐,S-Target O
세훈 발신해봐,S-Target O
천우 발신해봐,S-Target O
설아 발신해봐,S-Target O
제니 발신해봐,S-Target O
소담 발신해봐,S-Target O
다솜 발신해봐,S-Target O
가이 발신해봐,S-Target O
규빈 발신해봐,S-Target O
그리 발신해봐,S-Target O
보담 발신해봐,S-Target O
가브리엘 발신해봐,S-Target O
수빈 발신해봐,S-Target O
동찬 발신해봐,S-Target O
성현 발신해봐,S-Target O
방지 발신해봐,S-Target O
형근이 발신해봐,S-Target O
이천우 발신해봐,S-Target O
이경원 발신해봐,S-Target O
박세훈 발신해봐,S-Target O
교신해주시겠습니까 설아,O S-Target
교신해주시겠습니까 민이,O S-Target
교신해주시겠습니까 경원,O S-Target
교신해주시겠습니까 세훈,O S-Target
교신해주시겠습니까 천우,O S-Target
교신해주시겠습니까 제니,O S-Target
교신해주시겠습니까 소담,O S-Target
교신해주시겠습니까 다솜,O S-Target
교신해주시겠습니까 가이,O S-Target
교신해주시겠습니까 규빈,O S-Target
교신해주시겠습니까 그리,O S-Target
교신해주시겠습니까 보담,O S-Target
교신해주시겠습니까 가브리엘,O S-Target
교신해주시겠습니까 수빈,O S-Target
교신해주시겠습니까 동찬,O S-Target
교신해주시겠습니까 성현,O S-Target
교신해주시겠습니까 방지,O S-Target
교신해주시겠습니까 형근이,O S-Target
교신해주시겠습니까 이천우,O S-Target
교신해주시겠습니까 이경원,O S-Target
교신해주시겠습니까 박세훈,O S-Target
교신해주시겠습니까 김민이,O S-Target
발신하는거 어때 박세훈,O O S-Target
발신하는거 어때 민이,O O S-Target
발신하는거 어때 경원,O O S-Target
발신하는거 어때 세훈,O O S-Target
발신하는거 어때 천우,O O S-Target
발신하는거 어때 설아,O O S-Target
발신하는거 어때 제니,O O S-Target
발신하는거 어때 소담,O O S-Target
발신하는거 어때 다솜,O O S-Target
발신하는거 어때 가이,O O S-Target
발신하는거 어때 규빈,O O S-Target
발신하는거 어때 그리,O O S-Target
발신하는거 어때 보담,O O S-Target
발신하는거 어때 가브리엘,O O S-Target
발신하는거 어때 수빈,O O S-Target
발신하는거 어때 동찬,O O S-Target
발신하는거 어때 성현,O O S-Target
발신하는거 어때 방지,O O S-Target
발신하는거 어때 형근이,O O S-Target
발신하는거 어때 이천우,O O S-Target
발신하는거 어때 이경원,O O S-Target
발신하는거 어때 김민이,O O S-Target
연결해주시겠습니까 다솜,O S-Target
연결해주시겠습니까 민이,O S-Target
연결해주시겠습니까 경원,O S-Target
연결해주시겠습니까 세훈,O S-Target
연결해주시겠습니까 천우,O S-Target
연결해주시겠습니까 설아,O S-Target
연결해주시겠습니까 제니,O S-Target
연결해주시겠습니까 소담,O S-Target
연결해주시겠습니까 가이,O S-Target
연결해주시겠습니까 규빈,O S-Target
연결해주시겠습니까 그리,O S-Target
연결해주시겠습니까 보담,O S-Target
연결해주시겠습니까 가브리엘,O S-Target
연결해주시겠습니까 수빈,O S-Target
연결해주시겠습니까 동찬,O S-Target
연결해주시겠습니까 성현,O S-Target
연결해주시겠습니까 방지,O S-Target
연결해주시겠습니까 형근이,O S-Target
연결해주시겠습니까 이천우,O S-Target
연결해주시겠습니까 이경원,O S-Target
연결해주시겠습니까 박세훈,O S-Target
연결해주시겠습니까 김민이,O S-Target
수빈 걸었을까,S-Target O
민이 걸었을까,S-Target O
경원 걸었을까,S-Target O
세훈 걸었을까,S-Target O
천우 걸었을까,S-Target O
설아 걸었을까,S-Target O
제니 걸었을까,S-Target O
소담 걸었을까,S-Target O
다솜 걸었을까,S-Target O
가이 걸었을까,S-Target O
규빈 걸었을까,S-Target O
그리 걸었을까,S-Target O
보담 걸었을까,S-Target O
가브리엘 걸었을까,S-Target O
동찬 걸었을까,S-Target O
성현 걸었을까,S-Target O
방지 걸었을까,S-Target O
형근이 걸었을까,S-Target O
이천우 걸었을까,S-Target O
이경원 걸었을까,S-Target O
박세훈 걸었을까,S-Target O
김민이 걸었을까,S-Target O
수빈 교신하고 싶어,S-Target O O
민이 교신하고 싶어,S-Target O O
경원 교신하고 싶어,S-Target O O
세훈 교신하고 싶어,S-Target O O
천우 교신하고 싶어,S-Target O O
설아 교신하고 싶어,S-Target O O
제니 교신하고 싶어,S-Target O O
소담 교신하고 싶어,S-Target O O
다솜 교신하고 싶어,S-Target O O
가이 교신하고 싶어,S-Target O O
규빈 교신하고 싶어,S-Target O O
그리 교신하고 싶어,S-Target O O
보담 교신하고 싶어,S-Target O O
가브리엘 교신하고 싶어,S-Target O O
동찬 교신하고 싶어,S-Target O O
성현 교신하고 싶어,S-Target O O
방지 교신하고 싶어,S-Target O O
