question,label
발신해보자고 박세훈,O S-Target
발신했냐고 이경원,O S-Target
이천우 걸어줄 수 있으십니까,S-Target O O O
교신했니 가브리엘,O S-Target
이경원 교신해주겠니,S-Target O
연결해주련 수빈,O S-Target
송신해봅시다 박세훈,O S-Target
이천우 연결해봅시다,S-Target O
거자 하그리,O S-Target
발신해봐줘 하그리,O S-Target
김민이 연결해보자,S-Target O
연결할까 이천우,O S-Target
이경원 연결해주자,S-Target O
소담 교신해주자,S-Target O
가이 교신해줄래,S-Target O
발신해주세요 수빈,O S-Target
가브리엘 교신했어,S-Target O
발신해볼래 송보담,O S-Target
가브리엘 연결했니,S-Target O
하그리 걸까,S-Target O
이규빈 교신해줘,S-Target O
송신해봐보자 이천우,O S-Target
송보담 걸었니,S-Target O
발신해줘 김민이,O S-Target
박세훈 연결해주실 수 있으십니까,S-Target O O O
연결해줄 수 있어 가브리엘,O O O S-Target
소담 교신해볼까,S-Target O
송신해달라고 했지 하그리,O O S-Target
연결했냐고 제니,O S-Target
걸어봅시다 박세훈,O S-Target
걸어주라 가이,O S-Target
송보담 송신해볼래,S-Target O
교신해봅시다 하그리,O S-Target
송보담 걸어줄 수 있어,S-Target O O O
발신해볼까 가이,O S-Target
다솜 발신해주자,S-Target O
연결했다 소담,O S-Target
박세훈 걸어주실 수 있으십니까,S-Target O O O
교신했다 가이,O S-Target
발신해주라 가브리엘,O S-Target
소담 송신했냐고,S-Target O
교신했나 소담,O S-Target
송신해보자고 이경원,O S-Target
발신해줄 수 있냐 수빈,O O O S-Target
소담 연결하고 싶어,S-Target O O
거고 싶어 박세훈,O O S-Target
설아 교신해줄 수 있어,S-Target O O O
하그리 교신해주련,S-Target O
김민이 걸어주겠니,S-Target O
하그리 교신할까,S-Target O
발신해줄 수 있어 가브리엘,O O O S-Target
걸어줄 수 있냐 이규빈,O O O S-Target
연결해달라고 했지 이규빈,O O S-Target
송신해주실 수 있으십니까 제니,O O O S-Target
다솜 연결해줄래,S-Target O
박세훈 교신해주세요,S-Target O
연결해야 겠어 이천우,O O S-Target
설아 송신해주자,S-Target O
제니 연결했을까,S-Target O
소담 송신해쥬,S-Target O
김민이 걸어볼까,S-Target O
수빈 걸어다오,S-Target O
송신했냐 설아,O S-Target
송신하냐 가이,O S-Target
교신해쥬 가이,O S-Target
송보담 교신해다오,S-Target O
이경원 발신해주련,S-Target O
이규빈 송신해볼까,S-Target O
이천우 발신해다오,S-Target O
설아 걸어야 겠어,S-Target O O
송신해주시겠습니까 이경원,O S-Target
걸어주자 수빈,O S-Target
설아 걸어줘봐,S-Target O
연결해줄 수 있냐 김민이,O O O S-Target
설아 발신할까,S-Target O
이규빈 발신해줄 수 있으십니까,S-Target O O O
다솜 송신했다,S-Target O
발신했니 가브리엘,O S-Target
교신하냐 가브리엘,O S-Target
박세훈 송신해줄 수 있냐,S-Target O O O
교신해주실 수 있나요 하그리,O O O S-Target
다솜 교신해봐다오,S-Target O
다솜 발신해주겠니,S-Target O
교신하자 이규빈,O S-Target
발신해봅시다 수빈,O S-Target
송보담 송신해야 겠어,S-Target O O
하그리 걸었다,S-Target O
박세훈 걸어봐,S-Target O
걸어달라고 했지 이천우,O O S-Target
걸어봐보자 가이,O S-Target
하그리 교신해야 겠어,S-Target O O
설아 교신해봐봐,S-Target O
송신했어 가이,O S-Target
걸어주세요 송보담,O S-Target
하그리 교신했냐,S-Target O
이규빈 연결해줄래요,S-Target O
수빈 연결해다오,S-Target O
김민이 송신하고 싶어,S-Target O O
걸어라 하그리,O S-Target
이규빈 걸어줄래요,S-Target O
연결해줘 박세훈,O S-Target
제니 송신합시다,S-Target O
가브리엘 발신했다,S-Target O
연결하냐 소담,O S-Target
김민이 연결해봐다오,S-Target O
하그리 교신해봐주라,S-Target O
송신할까 수빈,O S-Target
이규빈 연결해주세요,S-Target O
가브리엘 송신해줄래,S-Target O
김민이 연결해주라,S-Target O
걸어볼래 송보담,O S-Target
발신합시다 가브리엘,O S-Target
연결해보자고 수빈,O S-Target
송신해야 겠어 가이한테,O O S-Target
가이한테 발신하고 싶어,S-Target O O
연결했냐고 가브리엘에게,O S-Target
박세훈에게 송신해줄 수 있냐,S-Target O O O
수빈에게 발신합시다,S-Target O
이경원한테 발신해줄 수 있으십니까,S-Target O O O
하그리한테 교신합시다,S-Target O
연결해주세요 이경원한테,O S-Target
연결해주실 수 있으십니까 박세훈에게,O O O S-Target
교신해주겠니 이천우한테,O S-Target
수빈에게 발신했다,S-Target O
다솜에게 걸어주겠니,S-Target O
발신해봐 다솜에게,O S-Target
이규빈에게 걸어봐주라,S-Target O
김민이한테 교신해줄래,S-Target O
하그리한테 송신해봐,S-Target O
교신했냐고 가이한테,O S-Target
걸어줄 수 있느냐 설아에게,O O O S-Target
걸었니 가이한테,O S-Target
하그리한테 거자,S-Target O
이천우한테 발신해쥬,S-Target O
수빈에게 발신했니,S-Target O
설아에게 발신해주자,S-Target O
제니한테 발신해봐봐,S-Target O
다솜에게 발신해봐보자,S-Target O
수빈에게 연결했니,S-Target O
발신해보자고 박세훈에게,O S-Target
박세훈에게 걸어주실 수 있으십니까,S-Target O O O
송신해볼래 가이한테,O S-Target
가브리엘에게 발신해주시겠습니까,S-Target O
연결해달라고 했지 이경원한테,O O S-Target
가이한테 걸어주세요,S-Target O
교신해줘봐 수빈에게,O S-Target
다솜에게 연결해보자,S-Target O
이천우한테 연결해쥬,S-Target O
소담에게 발신했나,S-Target O
송신했냐 제니한테,O S-Target
박세훈에게 교신해주세요,S-Target O
교신해봅시다 하그리한테,O S-Target
걸어줄래 설아에게,O S-Target
김민이한테 송신하니,S-Target O
이규빈에게 걸어보자고,S-Target O
이경원한테 교신해줄 수 있느냐,S-Target O O O
발신해주라 수빈에게,O S-Target
송보담한테 송신해봐봐,S-Target O
연결해다오 송보담한테,O S-Target
제니한테 발신하니,S-Target O
걸었을까 송보담한테,O S-Target
걸어주련 소담에게,O S-Target
교신하니 소담에게,O S-Target
이규빈에게 연결했다,S-Target O
송신해줄래 수빈에게,O S-Target
이규빈에게 송신해쥬,S-Target O
발신하자 제니한테,O S-Target
연결해봐다오 다솜에게,O S-Target
소담에게 연결할까,S-Target O
걸어봐줘 이규빈에게,O S-Target
설아에게 연결해줄래,S-Target O
발신해봅시다 송보담한테,O S-Target
걸어주자 송보담한테,O S-Target
발신했을까 송보담한테,O S-Target
다솜에게 걸어볼까,S-Target O
거니 송보담한테,O S-Target
걸어줄 수 있어 가이한테,O O O S-Target
연결해봐줘 가브리엘에게,O S-Target
교신했냐 하그리한테,O S-Target
김민이한테 교신해쥬,S-Target O
이경원한테 걸어줄 수 있냐,S-Target O O O
이규빈에게 연결하니,S-Target O
제니한테 송신해주자,S-Target O
발신해봐줘 하그리한테,O S-Target
가브리엘에게 걸어주실 수 있나요,S-Target O O O
교신하는거 어때 박세훈에게,O O S-Target
이천우한테 연결해주자,S-Target O
연결하는거 어때 이규빈에게,O O S-Target
이경원한테 송신해볼까,S-Target O
연결해줄래요 이경원한테,O S-Target
연결해줘봐 다솜에게,O S-Target
수빈에게 송신해줄 수 있으십니까,S-Target O O O
소담에게 발신해다오,S-Target O
이규빈에게 연결해주실 수 있나요,S-Target O O O
소담에게 송신해봐다오,S-Target O
송신해주실 수 있나요 가브리엘에게,O O O S-Target
제니한테 송신해줄 수 있어,S-Target O O O
연결해주겠니 이천우한테,O S-Target
하그리한테 걸어라,S-Target O
이경원한테 교신해주라,S-Target O
연결해봐주라 설아에게,O S-Target
이천우한테 교신해달라고 했지,S-Target O O
송신했다 설아에게,O S-Target
가이한테 발신했느냐,S-Target O
이천우한테 송신해주시겠습니까,S-Target O
송보담한테 발신했냐,S-Target O
교신했나 이규빈에게,O S-Target
김민이한테 교신해봐보자,S-Target O
이천우한테 송신해보자고,S-Target O
발신해라 김민이한테,O S-Target
김민이한테 걸어주라,S-Target O
설아에게 송신했나,S-Target O
수빈에게 교신하냐,S-Target O
설아에게 교신해라,S-Target O
발신해줄래요 제니한테,O S-Target
하그리한테 연결하자,S-Target O
하그리한테 송신해달라고 했지,S-Target O O
연결해보자고 송보담한테,O S-Target
김민이한테 교신했느냐,S-Target O
교신해볼래 김민이한테,O S-Target
이천우한테 연결했어,S-Target O
다솜에게 발신해봐다오,S-Target O
하그리한테 교신해주실 수 있나요,S-Target O O O
송신해봐주라 가이한테,O S-Target
가브리엘에게 발신해줄 수 있느냐,S-Target O O O
설아에게 연결했냐,S-Target O
이천우한테 송신해다오,S-Target O
박세훈에게 송신해봅시다,S-Target O
송신해라 이경원한테,O S-Target
소담에게 송신해봐보자,S-Target O
설아에게 송신해주세요,S-Target O
김민이한테 송신했니,S-Target O
교신해봐다오 설아에게,O S-Target
발신해주련 이천우한테,O S-Target
송보담한테 송신할까,S-Target O
제니한테 연결했나,S-Target O
발신했어 소담에게,O S-Target
교신해봐주라 하그리한테,O S-Target
제니한테 발신할까,S-Target O
걸었냐고 다솜에게,O S-Target
연결했을까 가브리엘에게,O S-Target
박세훈에게 발신해줄래,S-Target O
연결해볼까 하그리한테,O S-Target
송보담한테 발신해줄 수 있냐,S-Target O O O
이경원한테 걸어줄래요,S-Target O
소담에게 발신해주실 수 있나요,S-Target O O O
가브리엘에게 송신해줘봐,S-Target O
교신해줄 수 있어 제니한테,O O O S-Target
설아에게 발신해주겠니,S-Target O
하그리한테 교신할까,S-Target O
수빈에게 발신해줄 수 있어,S-Target O O O
발신해주실 수 있으십니까 소담에게,O O O S-Target
연결해주시겠습니까 설아에게,O S-Target
제니한테 교신해봐봐,S-Target O
박세훈에게 걸었냐,S-Target O
교신해줄 수 있으십니까 가브리엘에게,O O O S-Target
송신했어 김민이한테,O S-Target
발신해볼래 가이한테,O S-Target
발신해야 겠어 가브리엘에게,O O S-Target
다솜에게 송신해주겠니,S-Target O
설아에게 연결해줄 수 있느냐,S-Target O O O
송신하고 싶어 다솜에게,O O S-Target
이경원한테 교신해줘,S-Target O
걸었어 가이한테,O S-Target
김민이한테 걸어줘,S-Target O
교신했을까 이경원한테,O S-Target
연결해줄 수 있냐 다솜에게,O O O S-Target
연결해줄 수 있으십니까 소담에게,O O O S-Target
수빈에게 교신해봐,S-Target O
교신해주시겠습니까 제니한테,O S-Target
다솜에게 발신해줘,S-Target O
소담에게 걸어줄 수 있으십니까,S-Target O O O
이천우한테 발신했냐고,S-Target O
송신하는거 어때 가브리엘에게,O O S-Target
연결해주련 송보담한테,O S-Target
박세훈에게 거는거 어때,S-Target O O
김민이한테 연결해봐,S-Target O
이규빈에게 연결하고 싶어,S-Target O O
설아에게 걸었느냐,S-Target O
이규빈에게 송신해줘,S-Target O
걸어보자 제니한테,O S-Target
가브리엘에게 교신해보자고,S-Target O
걸어봐다오 제니한테,O S-Target
다솜에게 걸어주시겠습니까,S-Target O
발신해주세요 송보담한테,O S-Target
발신하는거 어때 박세훈에게,O O S-Target
발신해줘봐 이규빈에게,O S-Target
수빈에게 송신해줄래요,S-Target O
걸어봐보자 김민이한테,O S-Target
이경원한테 연결해봐보자,S-Target O
이규빈에게 교신해주자,S-Target O
박세훈에게 연결해줘,S-Target O
이규빈에게 걸어쥬,S-Target O
연결해봅시다 소담에게,O S-Target
교신했어 수빈에게,O S-Target
송신해줄 수 있느냐 박세훈에게,O O O S-Target
소담에게 연결했느냐,S-Target O
걸어봐봐 이천우한테,O S-Target
가이한테 송신하자,S-Target O
걸어달라고 했지 소담에게,O O S-Target
가이한테 걸어볼래,S-Target O
발신하냐 설아에게,O S-Target
가이한테 발신해달라고 했지,S-Target O O
연결해주라 다솜에게,O S-Target
이경원한테 연결해볼래,S-Target O
교신해보자 이천우한테,O S-Target
송신했냐고 이규빈에게,O S-Target
설아에게 교신해봐줘,S-Target O
교신하자 이경원한테,O S-Target
박세훈에게 연결합시다,S-Target O
수빈에게 겁시다,S-Target O
걸어봅시다 박세훈에게,O S-Target
송보담한테 송신해주련,S-Target O
걸었나 가브리엘에게,O S-Target
제니한테 발신해보자,S-Target O
교신해야 겠어 하그리한테,O O S-Target
교신했다 김민이한테,O S-Target
하그리한테 걸었다,S-Target O
교신해주련 하그리한테,O S-Target
거냐 이천우한테,O S-Target
연결해라 수빈에게,O S-Target
박세훈에게 걸어봐,S-Target O
송신했느냐 이천우한테,O S-Target
거고 싶어 박세훈에게,O O S-Target
송신하냐 김민이한테,O S-Target
이규빈에게 교신해볼까,S-Target O
가이한테 교신해다오,S-Target O
가브리엘에게 교신해주실 수 있으십니까,S-Target O O O
송신해주실 수 있으십니까 가브리엘에게,O O O S-Target
연결해봐봐 다솜에게,O S-Target
송보담한테 교신하고 싶어,S-Target O O
이경원한테 송신해봐줘,S-Target O
송보담한테 걸어다오,S-Target O
송신했을까 송보담한테,O S-Target
가브리엘에게 송신합시다,S-Target O
발신해볼까 김민이한테,O S-Target
수빈에게 교신했니,S-Target O
걸어야 겠어 제니한테,O O S-Target
송신해보자 김민이한테,O S-Target
송신해주라 가브리엘에게,O S-Target
제니한테 걸어줘봐,S-Target O
교신해줄 수 있냐 소담에게,O O O S-Target
이규빈에게 연결하냐,S-Target O
가이한테 발신해봐주라,S-Target O
연결해야 겠어 소담에게,O O S-Target
수빈에게 연결해줄 수 있어,S-Target O O O
하그리한테 걸까,S-Target O
교신해줄래요 이경원한테,O S-Target
연락쳐주실 수 있나요 이경원한테,O O O S-Target
전화놓으고 싶어 다솜한테,O O S-Target
김민이 통화놔보자,S-Target O
이천우 통화남겨달라고 했지,S-Target O O
이규빈한테 전화쳤냐,S-Target O
전화해주라 이규빈한테,O S-Target
가이한테 연락쳐줄 수 있냐,S-Target O O O
송보담 무전뿌셨나,S-Target O
설아한테 전화때려줄 수 있느냐,S-Target O O O
무전쌔립시다 김민이,O S-Target
가브리엘 무전남겨봐주라,S-Target O
연락했을까 하그리한테,O S-Target
소담한테 연락세렸느냐,S-Target O
가이한테 전화세립시다,S-Target O
설아한테 연락쌔려줄 수 있으십니까,S-Target O O O
연락넣어주라 이경원한테,O S-Target
연락놓아라 다솜한테,O S-Target
제니 통화놔봐다오,S-Target O
통화해볼까 가브리엘,O S-Target
전화해주실 수 있나요 소담한테,O O O S-Target
박세훈 무전보내다오,S-Target O
전화남겨주자 가이한테,O S-Target
무전쳐야 겠어 제니,O O S-Target
통화하고 싶어 송보담,O O S-Target
제니 무전뿌시는거 어때,S-Target O O
무전남기는거 어때 이천우,O O S-Target
김민이 무전해다오,S-Target O
수빈 무전세렸나,S-Target O
가브리엘 통화놓아봐줘,S-Target O
전화했니 이규빈한테,O S-Target
설아한테 전화세려다오,S-Target O
가이한테 전화넣었어,S-Target O
통화놓아봐다오 수빈,O S-Target
무전보낼까 박세훈,O S-Target
통화놓았나 박세훈,O S-Target
전화넣었나 다솜한테,O S-Target
전화해봅시다 설아한테,O S-Target
가이한테 전화넣어줘봐,S-Target O
통화했어 이천우,O S-Target
전화뿌셔달라고 했지 하그리한테,O O S-Target
통화넣었을까 이천우,O S-Target
설아한테 연락놨을까,S-Target O
전화놓아줄 수 있으십니까 하그리한테,O O O S-Target
통화넣었느냐 송보담,O S-Target
박세훈 무전넣으고 싶어,S-Target O O
이경원한테 전화뿌셔봅시다,S-Target O
전화놓아줘봐 가이한테,O S-Target
통화쌔렸냐 가브리엘,O S-Target
박세훈 통화쌔려보자,S-Target O
송보담 무전놨나,S-Target O
연락넣어줘 하그리한테,O S-Target
전화놔달라고 했지 이규빈한테,O O S-Target
연락때려주실 수 있나요 이경원한테,O O O S-Target
무전쌔려볼까 이천우,O S-Target
가브리엘 무전쌔려봐,S-Target O
통화남겨줄 수 있으십니까 수빈,O O O S-Target
이천우 무전세릴까,S-Target O
소담한테 연락남겨보자,S-Target O
이경원한테 연락세려봐봐,S-Target O
연락넣었냐 소담한테,O S-Target
이천우 무전놔줘,S-Target O
하그리한테 전화때려봐줘,S-Target O
수빈 무전남겨보자고,S-Target O
김민이 무전놓았어,S-Target O
하그리한테 전화놓아야 겠어,S-Target O O
이규빈한테 전화놔봐줘,S-Target O
연락쌔렸다 설아한테,O S-Target
연락쌔려봐보자 하그리한테,O S-Target
하그리한테 전화때렸을까,S-Target O
박세훈 무전해주자,S-Target O
연락남겼냐고 이규빈한테,O S-Target
전화남길까 설아한테,O S-Target
이규빈한테 연락보내는거 어때,S-Target O O
다솜한테 전화쌔렸어,S-Target O
통화넣었다 가브리엘,O S-Target
가이한테 전화보내야 겠어,S-Target O O
무전남겨쥬 이천우,O S-Target
김민이 무전칠까,S-Target O
소담한테 연락보내니,S-Target O
전화넣어주시겠습니까 소담한테,O S-Target
연락넣어봅시다 설아한테,O S-Target
무전쌔려봐주라 수빈,O S-Target
설아한테 연락쌔려줘봐,S-Target O
연락남겨봐봐 하그리한테,O S-Target
전화세려쥬 이경원한테,O S-Target
김민이 무전보내자,S-Target O
전화넣었니 가이한테,O S-Target
무전쌔려주겠니 제니,O S-Target
연락보냈느냐 가이한테,O S-Target
통화놓았다 가브리엘,O S-Target
전화합시다 이규빈한테,O S-Target
이천우 통화해보자고,S-Target O
연락세려볼래 다솜한테,O S-Target
연락놓으니 다솜한테,O S-Target
김민이 통화해줄래,S-Target O
이천우 무전넣어주실 수 있으십니까,S-Target O O O
하그리한테 전화세려줄래요,S-Target O
가브리엘 통화뿌셔주라,S-Target O
무전쌔리냐 박세훈,O S-Target
연락놓아봅시다 소담한테,O S-Target
연락놓아주시겠습니까 이규빈한테,O S-Target
가브리엘 통화보내주실 수 있나요,S-Target O O O
김민이 통화때려주자,S-Target O
전화뿌셔주겠니 소담한테,O S-Target
다솜한테 연락넣읍시다,S-Target O
이경원한테 전화때려봐,S-Target O
가브리엘 통화쌔릴까,S-Target O
무전쌔려주련 박세훈,O S-Target
전화해야 겠어 다솜한테,O O S-Target
이규빈한테 연락쌔리니,S-Target O
이경원한테 전화보내줄 수 있느냐,S-Target O O O
연락쳐줄 수 있으십니까 하그리한테,O O O S-Target
통화치자 가브리엘,O S-Target
설아한테 전화뿌셔봐주라,S-Target O
무전뿌셔줄래 가브리엘,O S-Target
소담한테 전화남기니,S-Target O
다솜한테 연락넣으냐,S-Target O
이규빈한테 전화보냈니,S-Target O
하그리한테 연락남겨주련,S-Target O
전화뿌셨냐고 이경원한테,O S-Target
무전넣어봐주라 박세훈,O S-Target
전화놔주자 이규빈한테,O S-Target
무전때려보자 이천우,O S-Target
연락넣어쥬 다솜한테,O S-Target
전화놓아봐봐 가이한테,O S-Target
전화놔줄래 설아한테,O S-Target
무전뿌셔줘봐 수빈,O S-Target
소담한테 전화해라,S-Target O
김민이 무전쳤냐고,S-Target O
전화뿌십시다 하그리한테,O S-Target
가이한테 연락쳐봐봐,S-Target O
소담한테 전화때려줄 수 있으십니까,S-Target O O O
송보담 무전해봐,S-Target O
제니 무전남겨줄 수 있어,S-Target O O O
무전남겨줄 수 있냐 송보담,O O O S-Target
김민이 무전놔주련,S-Target O
소담한테 연락보내냐,S-Target O
전화해줘봐 가이한테,O S-Target
통화해봐보자 제니,O S-Target
수빈 통화쌔려주라,S-Target O
전화세리냐 다솜한테,O S-Target
하그리한테 전화세려봐줘,S-Target O
송보담 통화세려주자,S-Target O
수빈 무전세렸을까,S-Target O
제니 통화쳐봐줘,S-Target O
연락놓아주실 수 있나요 소담한테,O O O S-Target
통화놓아봐주라 이천우,O S-Target
무전때렸어 가브리엘,O S-Target
통화때려볼까 김민이,O S-Target
무전넣으는거 어때 가브리엘,O O S-Target
이경원한테 전화치고 싶어,S-Target O O
제니 통화놓아주겠니,S-Target O
통화놨냐 제니,O S-Target
가이한테 전화넣어줄 수 있어,S-Target O O O
연락쌔렸나 이규빈한테,O S-Target
김민이 무전쌔려주실 수 있으십니까,S-Target O O O
가브리엘 무전보내줄래요,S-Target O
연락뿌셨다 이규빈한테,O S-Target
하그리한테 전화남겨줘봐,S-Target O
통화세려보자고 박세훈,O S-Target
설아한테 전화세리니,S-Target O
통화때려줄 수 있냐 김민이,O O O S-Target
이경원한테 전화넣어봐보자,S-Target O
다솜한테 전화보내봐보자,S-Target O
전화해주련 하그리한테,O S-Target
설아한테 연락세려보자,S-Target O
통화세렸어 김민이,O S-Target
이경원한테 전화쌔려줄 수 있냐,S-Target O O O
송보담 통화뿌셔보자,S-Target O
박세훈 무전세려봐다오,S-Target O
전화때려라 설아한테,O S-Target
무전놓아보자고 가브리엘,O S-Target
무전쌔려달라고 했지 이천우,O O S-Target
연락해봐봐 이경원한테,O S-Target
설아한테 연락놔주실 수 있나요,S-Target O O O
이경원한테 연락남겨볼까,S-Target O
연락때렸나 하그리한테,O S-Target
이천우 무전뿌셨을까,S-Target O
수빈 무전놔줄 수 있어,S-Target O O O
연락남기자 다솜한테,O S-Target
소담한테 연락놨느냐,S-Target O
통화보내주자 가브리엘,O S-Target
전화남겨다오 다솜한테,O S-Target
무전치는거 어때 이천우,O O S-Target
연락쌔려볼래 하그리한테,O S-Target
송보담 무전때려보자고,S-Target O
전화남겼나 가이한테,O S-Target
송보담 무전남겨주실 수 있나요,S-Target O O O
수빈 통화보내줘봐,S-Target O
전화세려주실 수 있으십니까 이경원한테,O O O S-Target
통화보냈어 수빈,O S-Target
무전했냐고 제니,O S-Target
무전쌔렸을까 이천우,O S-Target
연락남겼느냐 가이한테,O S-Target
연락뿌셔쥬 다솜한테,O S-Target
무전때려다오 송보담,O S-Target
연락때렸느냐 다솜한테,O S-Target
통화보내는거 어때 박세훈,O O S-Target
전화놓아다오 다솜한테,O S-Target
가이한테 연락남겨봐다오,S-Target O
다솜한테 전화때려봅시다,S-Target O
제니 무전놓을까,S-Target O
무전때려주실 수 있으십니까 송보담,O O O S-Target
연락쳐줄래 설아한테,O S-Target
하그리한테 연락세려주시겠습니까,S-Target O
박세훈 무전했다,S-Target O
연락놔줄 수 있으십니까 이규빈한테,O O O S-Target
연락세려줄래 다솜한테,O S-Target
연락놨다 가이한테,O S-Target
이경원한테 연락놔야 겠어,S-Target O O
무전보내보자 가브리엘,O S-Target
연락해봐주라 이규빈한테,O S-Target
전화쳐줄 수 있어 가이한테,O O O S-Target
전화세려봅시다 설아한테,O S-Target
연락놔줄 수 있느냐 가이한테,O O O S-Target
이천우 무전쳐봐보자,S-Target O
연락해주시겠습니까 이경원한테,O S-Target
소담한테 연락쳐줘봐,S-Target O
무전남겨주겠니 송보담,O S-Target
통화넣어봐봐 이천우,O S-Target
전화놔줘봐 이규빈한테,O S-Target
설아한테 연락보내주시겠습니까,S-Target O
연락놓아볼까 설아한테,O S-Target
연락놓아주세요 이경원한테,O S-Target
수빈 통화넣으자,S-Target O
통화쳤니 박세훈,O S-Target
통화놔볼래 김민이,O S-Target
송보담 무전놓아줘,S-Target O
이천우 통화쳐주실 수 있으십니까,S-Target O O O
무전세려봐 송보담,O S-Target
이경원한테 연락뿌셔라,S-Target O
소담한테 연락때려봐주라,S-Target O
송보담 무전쌔렸느냐,S-Target O
