question,label
이십일일 후 일정 응답하다 방어 먹기,B-Date E-Date O S-Action B-Subject E-Subject
이십구일 뒤 식물에 물 주기 일정 말해주다,B-Date E-Date B-Subject I-Subject E-Subject O S-Action
월요일 학교 가기 일정 실행하다,S-Date B-Subject E-Subject O S-Action
월요일 추가하다,S-Date S-Action
이천이십칠년 9월 12일 운동하러 가기 일정 정해,B-Date I-Date E-Date B-Subject E-Subject O S-Action
2021년 삼월 이일 추가하다,B-Date I-Date E-Date S-Action
삼십일 지정해주다,S-Date S-Action
첫째 주 일정 설정하다 물 마시기,B-Date E-Date O S-Action B-Subject E-Subject
이십삼일 뒤 시내 가기 실행하다,B-Date E-Date B-Subject E-Subject S-Action
금요일 12시 일정 잡다,S-Date S-Time O S-Action
4월 4일 일정 장 보기 등록하다,B-Date E-Date O B-Subject E-Subject S-Action
첫째 주 응답하다 산책하기,B-Date E-Date S-Action S-Subject
십칠일부터 십육일까지 에버랜드 가기 울리다,S-Date S-Date B-Subject E-Subject S-Action
구월 마지막 주 올리다 장 보기,B-Date I-Date E-Date S-Action B-Subject E-Subject
9일 후 일정 올리다,B-Date E-Date O S-Action
수요일 목요일 17시 한강 가기 실행하다,B-Date E-Date S-Time B-Subject E-Subject S-Action
수요일 토요일 일정 울리다 밥 먹기,B-Date E-Date O S-Action B-Subject E-Subject
수요일 금요일 일요일 일정 방어 먹기 정해,B-Date I-Date E-Date O B-Subject E-Subject S-Action
월요일 출근하기 짜다,S-Date S-Subject S-Action
셋째 주 산책하기 때리다,B-Date E-Date S-Subject S-Action
4월 셋째 주 일정 파티하기 잡다,B-Date I-Date E-Date O S-Subject S-Action
수요일 금요일 일요일 물 마시기 짜다,B-Date I-Date E-Date B-Subject E-Subject S-Action
2023년 십이월 29일 일정 알다 에버랜드 가기,B-Date I-Date E-Date O S-Action B-Subject E-Subject
이월 마지막 주 화요일부터 일요일까지 일정 잡다 퇴근,B-Date I-Date I-Date E-Date S-Date O S-Action S-Subject
둘째 주 알다,B-Date E-Date S-Action
삼월 둘째 주부터 셋째 주까지 과일 사 오기 잡다,B-Date I-Date E-Date B-Date E-Date B-Subject I-Subject E-Subject S-Action
14일 저녁 4시 40분에 일정 추가하다,S-Date B-Time I-Time E-Time O S-Action
팔개월 뒤 공부하기 추가하다,B-Date E-Date S-Subject S-Action
14일 후 이십이시 휴가 일정 추가하다,B-Date E-Date S-Time S-Subject O S-Action
목요일 토요일 올리다,B-Date E-Date S-Action
토요일 짜다,S-Date S-Action
십육일 후 다섯시 때리다,B-Date E-Date S-Time S-Action
1일 열다섯시 전구 교체하기 일정 설정하다,S-Date S-Time B-Subject E-Subject O S-Action
이천이십사년 오월 십이일 일정 짜다 월차,B-Date I-Date E-Date O S-Action S-Subject
15일 뒤 자정 칠분 후 일정 짜다 산책하기,B-Date E-Date B-Time I-Time E-Time O S-Action S-Subject
마지막 주 산책하기 일정 정해,B-Date E-Date S-Subject O S-Action
6월 마지막 주 화요일부터 금요일까지 일정 춤추러 가기 지정해주다,B-Date I-Date I-Date E-Date S-Date O B-Subject E-Subject S-Action
이십오일 방어 먹기 넣다,S-Date B-Subject E-Subject S-Action
토요일 19시 때리다,S-Date S-Time S-Action
셋째 주부터 넷째 주까지 일정 장 보기 응답하다,B-Date E-Date B-Date E-Date O B-Subject E-Subject S-Action
수요일 일정 퇴근 울리다,S-Date O S-Subject S-Action
일요일 일정 전구 교체하기 맞추다,S-Date O B-Subject E-Subject S-Action
화요일 오후 8시 이분에 일정 지정해주다,S-Date B-Time I-Time E-Time O S-Action
토요일 일요일 오후 9시 팔분에 넣다 장 보기,B-Date E-Date B-Time I-Time E-Time S-Action B-Subject E-Subject
십칠일 뒤 오후 열두시 퇴근 잡다,B-Date E-Date B-Time E-Time S-Subject S-Action
칠월 이십팔일부터 11월 27일까지 지정해주다,B-Date E-Date B-Date E-Date S-Action
육일 뒤 열여덟시 십사분 일정 알다 춤추러 가기,B-Date E-Date B-Time E-Time O S-Action B-Subject E-Subject
팔월 첫째 주 부품 사러 가기 일정 잡다,B-Date I-Date E-Date B-Subject I-Subject E-Subject O S-Action
6월 첫째 주 등록하다 헬스장 가기,B-Date I-Date E-Date S-Action B-Subject E-Subject
이천이십삼년 2월 10일 게임하기 등록하다,B-Date I-Date E-Date S-Subject S-Action
이천이십육년 칠월 십사일 일정 올리다 산책하기,B-Date I-Date E-Date O S-Action S-Subject
일월 넷째 주 울리다 피시방 가기,B-Date I-Date E-Date S-Action B-Subject E-Subject
십칠일 후 열네시 일정 식물에 물 주기 올리다,B-Date E-Date S-Time O B-Subject I-Subject E-Subject S-Action
내일 후 밤 네시 일정 응답하다,B-Date E-Date B-Time E-Time O S-Action
6월 마지막 주부터 넷째 주까지 일정 알다,B-Date I-Date E-Date B-Date E-Date O S-Action
이월 셋째 주 빨래하기 정해,B-Date I-Date E-Date S-Subject S-Action
셋째 주 일정 맥주 먹기 정해,B-Date E-Date O B-Subject E-Subject S-Action
십일월 둘째 주 일정 잡다,B-Date I-Date E-Date O S-Action
6월 넷째 주부터 마지막 주까지 일정 추가하다 술 마시기,B-Date I-Date E-Date B-Date E-Date O S-Action B-Subject E-Subject
칠일 물 마시기 울리다,S-Date B-Subject E-Subject S-Action
이십사일 저녁 여섯시 오십칠분 일정 잡다 시내 가기,S-Date B-Time I-Time E-Time O S-Action B-Subject E-Subject
7일 뒤 18시 일정 청소하기 실행하다,B-Date E-Date S-Time O S-Subject S-Action
화요일 토요일 일요일 헬스장 가기 설정하다,B-Date I-Date E-Date B-Subject E-Subject S-Action
18일 후 14시 월차 짜다,B-Date E-Date S-Time S-Subject S-Action
십삼일 후 5시 사십삼분 파티하기 때리다,B-Date E-Date B-Time E-Time S-Subject S-Action
둘째 주부터 첫째 주까지 넣다 시내 가기,B-Date E-Date B-Date E-Date S-Action B-Subject E-Subject
월요일 설정하다,S-Date S-Action
토요일 에버랜드 가기 실행하다,S-Date B-Subject E-Subject S-Action
2025년 이월 이십일일 일정 등록하다,B-Date I-Date E-Date O S-Action
화요일 수요일 토요일 월차 일정 설정하다,B-Date I-Date E-Date S-Subject O S-Action
12월 셋째 주 게임하기 맞추다,B-Date I-Date E-Date S-Subject S-Action
6월 마지막 주 맞추다,B-Date I-Date E-Date S-Action
수요일 금요일 밤 4시 일정 춤추러 가기 설정하다,B-Date E-Date B-Time E-Time O B-Subject E-Subject S-Action
7월 십삼일부터 일월 삼일까지 일정 올리다 시내 가기,B-Date E-Date B-Date E-Date O S-Action B-Subject E-Subject
화요일 열아홉시 41분 공놀이하기 일정 지정해주다,S-Date B-Time E-Time S-Subject O S-Action
첫째 주부터 넷째 주까지 일정 맞추다,B-Date E-Date B-Date E-Date O S-Action
월요일 수요일 목요일 토요일 노래 부르러 가기 응답하다,B-Date I-Date I-Date E-Date B-Subject I-Subject E-Subject S-Action
2028년 십일월 이십오일 일정 공놀이하기 짜다,B-Date I-Date E-Date O S-Subject S-Action
칠월 마지막 주부터 셋째 주까지 학교 가기 일정 응답하다,B-Date I-Date E-Date B-Date E-Date B-Subject E-Subject O S-Action
월요일 일정 맞추다,S-Date O S-Action
이천이십삼년 사월 10일 일정 정해,B-Date I-Date E-Date O S-Action
10월 27일 일정 게임하기 실행하다,B-Date E-Date O S-Subject S-Action
11월 육일 일정 해외여행 짜다,B-Date E-Date O S-Subject S-Action
둘째 주 일정 올리다,B-Date E-Date O S-Action
2월 마지막 주부터 셋째 주까지 일정 전구 교체하기 잡다,B-Date I-Date E-Date B-Date E-Date O B-Subject E-Subject S-Action
육월 첫째 주 알다,B-Date I-Date E-Date S-Action
1일 후 일정 파티하기 등록하다,B-Date E-Date O S-Subject S-Action
셋째 주 수요일부터 화요일까지 일정 지정해주다 에버랜드 가기,B-Date I-Date E-Date S-Date O S-Action B-Subject E-Subject
12일 뒤 이십일시 27분 술 마시기 일정 추가하다,B-Date E-Date B-Time E-Time B-Subject E-Subject O S-Action
셋째 주 일정 넣다,B-Date E-Date O S-Action
사월 첫째 주 일정 실행하다 산책하기,B-Date I-Date E-Date O S-Action S-Subject
31일 후 18시 27분쯤 물 마시기 잡다,B-Date E-Date B-Time E-Time B-Subject E-Subject S-Action
화요일 목요일 금요일 일요일 열시 과일 사 오기 넣다,B-Date I-Date I-Date E-Date S-Time B-Subject I-Subject E-Subject S-Action
화요일 일요일 에버랜드 가기 넣다,B-Date E-Date B-Subject E-Subject S-Action
목요일 오전 열두시 일정 정해,S-Date B-Time E-Time O S-Action
둘째 주 공놀이하기 넣다,B-Date E-Date S-Subject S-Action
팔월 둘째 주 방어 먹기 일정 추가하다,B-Date I-Date E-Date B-Subject E-Subject O S-Action
토요일 청소하기 알다,S-Date S-Subject S-Action
8월 마지막 주부터 첫째 주까지 게임하기 일정 짜다,B-Date I-Date E-Date B-Date E-Date S-Subject O S-Action
3일 뒤 22시 실행하다,B-Date E-Date S-Time S-Action
2024년 십월 십이일 설정하다 피시방 가기,B-Date I-Date E-Date S-Action B-Subject E-Subject
삼월 셋째 주부터 첫째 주까지 일정 맞추다,B-Date I-Date E-Date B-Date E-Date O S-Action
화요일부터 수요일까지 산책하기 일정 추가하다,S-Date S-Date S-Subject O S-Action
일요일 헬스장 가기 울리다,S-Date B-Subject E-Subject S-Action
7일 뒤 추가하다 휴가,B-Date E-Date S-Action S-Subject
이천이십이년 12월 20일부터 이천이십사년 사월 6일까지 등산하러 가기 잡다,B-Date I-Date E-Date B-Date I-Date E-Date B-Subject E-Subject S-Action
넷째 주 일정 공놀이하기 잡다,B-Date E-Date O S-Subject S-Action
2027년 십일월 30일 말해주다 헬스장 가기,B-Date I-Date E-Date S-Action B-Subject E-Subject
이십이일 후 맞추다 치과 가기,B-Date E-Date S-Action B-Subject E-Subject
삼월 둘째 주 목요일부터 토요일까지 말해주다,B-Date I-Date I-Date E-Date S-Date S-Action
2029년 3월 5일 출근하기 일정 잡다,B-Date I-Date E-Date S-Subject O S-Action
1월 첫째 주 일정 옷 사기 등록하다,B-Date I-Date E-Date O B-Subject E-Subject S-Action
십월 둘째 주 잡다 등산하러 가기,B-Date I-Date E-Date S-Action B-Subject E-Subject
첫째 주부터 주까지 공놀이하기 잡다,B-Date E-Date E-Date S-Subject S-Action
둘째 주 방어 먹기 설정하다,B-Date E-Date B-Subject E-Subject S-Action
월요일부터 수요일까지 밥 먹기 울리다,S-Date S-Date B-Subject E-Subject S-Action
12월 십육일부터 일월 11일까지 알다,B-Date E-Date B-Date E-Date S-Action
이십삼일 후 아침 아홉시 일정 잡다,B-Date E-Date B-Time E-Time O S-Action
토요일 16시 11분 설정하다 춤추러 가기,S-Date B-Time E-Time S-Action B-Subject E-Subject
셋째 주 일정 등록하다 시내 가기,B-Date E-Date O S-Action B-Subject E-Subject
이천이십오년 사월 6일 알다,B-Date I-Date E-Date S-Action
6월 십오일부터 9월 2일까지 일정 출근하기 지정해주다,B-Date E-Date B-Date E-Date O S-Subject S-Action
팔월 첫째 주부터 주까지 일정 운동하러 가기 넣다,B-Date B-Date E-Date E-Date O B-Subject E-Subject S-Action
넷째 주 일정 말해주다 세포 밥 주기,B-Date E-Date O S-Action B-Subject I-Subject E-Subject
삼일 후 맞추다,B-Date E-Date S-Action
10일 후 실행하다,B-Date E-Date S-Action
화요일 일요일 알다 학교 가기,B-Date E-Date S-Action B-Subject E-Subject
2029년 칠월 12일 공놀이하기 정해,B-Date I-Date E-Date S-Subject S-Action
십육일 뒤 19시 일정 등록하다,B-Date E-Date S-Time O S-Action
12월 29일 물 마시기 알다,B-Date E-Date B-Subject E-Subject S-Action
첫째 주 일정 공부하기 넣다,B-Date E-Date O S-Subject S-Action
16일 후 일정 공놀이하기 울리다,B-Date E-Date O S-Subject S-Action
7월 넷째 주 월차 때리다,B-Date I-Date E-Date S-Subject S-Action
2028년 9월 15일 일정 설정하다 세포 밥 주기,B-Date I-Date E-Date O S-Action B-Subject I-Subject E-Subject
육일 후 일정 말해주다,B-Date E-Date O S-Action
2027년 십월 25일 설정하다,B-Date I-Date E-Date S-Action
5월 둘째 주 일정 때리다 맥주 먹기,B-Date I-Date E-Date O S-Action B-Subject E-Subject
목요일 토요일 일요일 일정 올리다,B-Date I-Date E-Date O S-Action
화요일 토요일 새벽 열시 노래 부르러 가기 일정 때리다,B-Date E-Date B-Time E-Time B-Subject I-Subject E-Subject O S-Action
19일 후 한시 이십오분 말해주다 노래 부르러 가기,B-Date E-Date B-Time E-Time S-Action B-Subject I-Subject E-Subject
11월 첫째 주 여행 가기 실행하다,B-Date I-Date E-Date B-Subject E-Subject S-Action
2028년 일월 16일 공놀이하기 추가하다,B-Date I-Date E-Date S-Subject S-Action
일월 둘째 주 학원 가기 넣다,B-Date I-Date E-Date B-Subject E-Subject S-Action
6월 넷째 주 월요일부터 금요일까지 때리다 빨래하기,B-Date I-Date I-Date E-Date S-Date S-Action S-Subject
2021년 3월 7일 응답하다 공놀이하기,B-Date I-Date E-Date S-Action S-Subject
닷새 후 파티하기 넣다,B-Date E-Date S-Subject S-Action
화요일 일요일 열여덟시 36분 등산하러 가기 일정 맞추다,B-Date E-Date B-Time E-Time B-Subject E-Subject O S-Action
마지막 주 일정 밥 먹기 말해주다,B-Date E-Date O B-Subject E-Subject S-Action
월요일 금요일 토요일 4시 이십일분에 응답하다 옷 사기,B-Date I-Date E-Date B-Time E-Time S-Action B-Subject E-Subject
이천이십칠년 칠월 삼일 일정 전구 교체하기 말해주다,B-Date I-Date E-Date O B-Subject E-Subject S-Action
20일 뒤 밥 먹기 일정 등록하다,B-Date E-Date B-Subject E-Subject O S-Action
15일 후 열아홉시 11분에 일정 응답하다 세포 밥 주기,B-Date E-Date B-Time E-Time O S-Action B-Subject I-Subject E-Subject
14일 일정 정해 맥주 먹기,S-Date O S-Action B-Subject E-Subject
11월 십삼일부터 9월 오일까지 일정 연어 먹기 울리다,B-Date E-Date B-Date E-Date O B-Subject E-Subject S-Action
8월 28일 부품 사러 가기 올리다,B-Date E-Date B-Subject I-Subject E-Subject S-Action
이십육일 후 연어 먹기 일정 추가하다,B-Date E-Date B-Subject E-Subject O S-Action
23일 후 2시 짜다 맥주 먹기,B-Date E-Date S-Time S-Action B-Subject E-Subject
목요일 오후 열시 청소하기 맞추다,S-Date B-Time E-Time S-Subject S-Action
이일부터 20일까지 때리다 장 보기,S-Date S-Date S-Action B-Subject E-Subject
일일 뒤 17시 알다,B-Date E-Date S-Time S-Action
이십이일 열두시 59분 때리다 과일 사 오기,S-Date B-Time E-Time S-Action B-Subject I-Subject E-Subject
토요일부터 일요일까지 일정 넣다,S-Date S-Date O S-Action
27일 후 노래 부르러 가기 일정 지정해주다,B-Date E-Date B-Subject I-Subject E-Subject O S-Action
십팔일 후 일정 올리다,B-Date E-Date O S-Action
육월 넷째 주부터 첫째 주까지 일정 퇴근 실행하다,B-Date I-Date E-Date B-Date E-Date O S-Subject S-Action
둘째 주 청소하기 말해주다,B-Date E-Date S-Subject S-Action
월요일 화요일 때리다 옷 사기,B-Date E-Date S-Action B-Subject E-Subject
월요일 목요일 일요일 피시방 가기 일정 넣다,B-Date I-Date E-Date B-Subject E-Subject O S-Action
화요일 토요일 일요일 낮 4시 오십이분 등록하다 시내 가기,B-Date I-Date E-Date B-Time I-Time E-Time S-Action B-Subject E-Subject
8월 일일 맥주 먹기 추가하다,B-Date E-Date B-Subject E-Subject S-Action
11월 둘째 주 일정 지정해주다,B-Date I-Date E-Date O S-Action
12일 후 10시 일정 추가하다,B-Date E-Date S-Time O S-Action
10일부터 오일까지 일정 시내 가기 설정하다,S-Date S-Date O B-Subject E-Subject S-Action
목요일 19시 운동하러 가기 일정 알다,S-Date S-Time B-Subject E-Subject O S-Action
월요일 수요일 일요일 밤 8시 일정 에버랜드 가기 울리다,B-Date I-Date E-Date B-Time E-Time O B-Subject E-Subject S-Action
월요일 수요일 일요일 일정 올리다 옷 사기,B-Date I-Date E-Date O S-Action B-Subject E-Subject
셋째 주부터 첫째 주까지 세포 밥 주기 설정하다,B-Date E-Date B-Date E-Date B-Subject I-Subject E-Subject S-Action
둘째 주 일요일부터 일요일까지 일정 때리다 월차,B-Date I-Date E-Date S-Date O S-Action S-Subject
이주일 후 말해주다,B-Date E-Date S-Action
십이일 밤 11시 18분 등록하다,S-Date B-Time I-Time E-Time S-Action
이십이일 뒤 빨래하기 일정 등록하다,B-Date E-Date S-Subject O S-Action
셋째 주 헬스장 가기 울리다,B-Date E-Date B-Subject E-Subject S-Action
화요일 일요일 이십삼시 과일 사 오기 실행하다,B-Date E-Date S-Time B-Subject I-Subject E-Subject S-Action
둘째 주 응답하다,B-Date E-Date S-Action
삼주일 후 일정 산책하기 등록하다,B-Date E-Date O S-Subject S-Action
8일 맞추다 식물에 물 주기,S-Date S-Action B-Subject I-Subject E-Subject
월요일 세포 밥 주기 일정 짜다,S-Date B-Subject I-Subject E-Subject O S-Action
오늘 카페 가기 실행하다,S-Date B-Subject E-Subject S-Action
마지막 주 카페 가기 일정 추가하다,B-Date E-Date B-Subject E-Subject O S-Action
2023년 칠월 십오일부터 2029년 10월 13일까지 일정 회의 정해,B-Date I-Date E-Date B-Date I-Date E-Date O S-Subject S-Action
6일 뒤 세시 32분에 일정 카페 가기 때리다,B-Date E-Date B-Time E-Time O B-Subject E-Subject S-Action
둘째 주 휴가 일정 맞추다,B-Date E-Date S-Subject O S-Action
월요일 밤 여덟시 이십팔분 일정 잡다 장 보기,S-Date B-Time I-Time E-Time O S-Action B-Subject E-Subject
10월 둘째 주 게임하기 일정 추가하다,B-Date I-Date E-Date S-Subject O S-Action
이월 둘째 주 잡다 여행 가기,B-Date I-Date E-Date S-Action B-Subject E-Subject
8월 14일 물 마시기 지정해주다,B-Date E-Date B-Subject E-Subject S-Action
10일 낮 두시 일정 잡다,S-Date B-Time E-Time O S-Action
2027년 9월 14일 장 보기 설정하다,B-Date I-Date E-Date B-Subject E-Subject S-Action
십이월 29일 넣다 산책하기,B-Date E-Date S-Action S-Subject
2030년 팔월 이십팔일 일정 설정하다 해외여행,B-Date I-Date E-Date O S-Action S-Subject
사월 둘째 주 공놀이하기 말해주다,B-Date I-Date E-Date S-Subject S-Action
칠월 마지막 주부터 넷째 주까지 일정 울리다,B-Date I-Date E-Date B-Date E-Date O S-Action
육월 셋째 주 시내 가기 응답하다,B-Date I-Date E-Date B-Subject E-Subject S-Action
마지막 주 일정 알다 여행 가기,B-Date E-Date O S-Action B-Subject E-Subject
수요일 목요일 토요일 지정해주다 운동하러 가기,B-Date I-Date E-Date S-Action B-Subject E-Subject
1월 넷째 주 산책하기 넣다,B-Date I-Date E-Date S-Subject S-Action
넷째 주 화요일부터 일요일까지 일정 방어 먹기 울리다,B-Date I-Date E-Date S-Date O B-Subject E-Subject S-Action
화요일 열세시 추가하다 청소하기,S-Date S-Time S-Action S-Subject
월요일 화요일 금요일 토요일 일요일 추가하다,B-Date I-Date I-Date I-Date E-Date S-Action
구월 마지막 주부터 셋째 주까지 방어 먹기 일정 말해주다,B-Date I-Date E-Date B-Date E-Date B-Subject E-Subject O S-Action
마지막 주 일정 알다 옷 사기,B-Date E-Date O S-Action B-Subject E-Subject
셋째 주부터 넷째 주까지 회의 잡다,B-Date E-Date B-Date E-Date S-Subject S-Action
이천이십이년 4월 십삼일부터 2029년 3월 이십삼일까지 일정 때리다 카페 가기,B-Date I-Date E-Date B-Date I-Date E-Date O S-Action B-Subject E-Subject
사일 후 청소하기 설정하다,B-Date E-Date S-Subject S-Action
31일 뒤 17시 팔분쯤 일정 응답하다 헬스장 가기,B-Date E-Date B-Time E-Time O S-Action B-Subject E-Subject
화요일 저녁 아홉시 추가하다 산책하기,S-Date B-Time E-Time S-Action S-Subject
목요일 토요일 13시 빨래하기 등록하다,B-Date E-Date S-Time S-Subject S-Action
12월 둘째 주 실행하다,B-Date I-Date E-Date S-Action
12월 삼십일부터 팔월 15일까지 피시방 가기 잡다,B-Date E-Date B-Date E-Date B-Subject E-Subject S-Action
2026년 9월 십오일 학교 가기 일정 추가하다,B-Date I-Date E-Date B-Subject E-Subject O S-Action
화요일 금요일 옷 사기 일정 잡다,B-Date E-Date B-Subject E-Subject O S-Action
십이월 셋째 주 일정 실행하다,B-Date I-Date E-Date O S-Action
일개월 후 실행하다 카페 가기,B-Date E-Date S-Action B-Subject E-Subject
이천이십팔년 십이월 이십일 일정 방어 먹기 맞추다,B-Date I-Date E-Date O B-Subject E-Subject S-Action
이천이십오년 일월 이십구일부터 2027년 7월 십삼일까지 일정 응답하다,B-Date I-Date E-Date B-Date I-Date E-Date O S-Action
월요일 수요일 목요일 14시 과일 사 오기 울리다,B-Date I-Date E-Date S-Time B-Subject I-Subject E-Subject S-Action
넷째 주 일정 넣다,B-Date E-Date O S-Action
칠일부터 5일까지 일정 짜다,S-Date S-Date O S-Action
십개월 뒤 일정 알다 춤추러 가기,B-Date E-Date O S-Action B-Subject E-Subject
